MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD,DESCRIPTION_UZ,DESCRIPTION_RU
742,Veterinary Services,,Veterinariya xizmatlari,Ветеринарные услуги
763,Agricultural Co-operatives,,Qishloq xo'jaligi kooperativlari,Сельскохозяйственные кооперативы
780,Landscaping and Horticultural Services,,Aralash va bog'dorchilik xizmatlari,Ландшафтные и садоводческие услуги
1520,General Contractors - Residential and Commercial,,Umumiy pudratchilar - turar-joy va tijorat,Генеральные подрядчики - жилые и коммерческие
1711,"Heating, Plumbing, and Air Conditioning Contractors",,"Isitish, sanitariya va konditsioner pudratchi","Подрядчики по отоплению, сантехнике и кондиционеру"
1731,Electrical Contractors,,Elektr pudratchilari,Электрические подрядчики
1740,"Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors",,"Mayonry, toshtash, plitkalar, gipastslash va izolyatsiya pudratchilari","Подрядчики с каменной кладкой, настройкой плитки, штукатуркой и изоляцией"
1750,Carpentry Contractors,,Duradgorlik pudratchilari,Плотницы подрядчики
1761,"Roofing, Siding, and Sheet Metal Work Contractors",,"Tom yopish, qarish va metall ishchilar pudratchilari","Кровяные, сайдинги и листовые рабочие подрядчики"
1771,Concrete Work Contractors,,Beton ish joylari pudratchilari,Конкретные рабочие подрядчики
1799,Special Trade Contractors (Not Elsewhere Classified),,Maxsus savdo pudratchilari (boshqa joyda tasniflangan emas),Специальные торговые подрядчики (не в других местах классифицируются)
2741,Miscellaneous Publishing and Printing,,Turli nashriyot va matbaa,Разное публикация и печать
2791,"Typesetting, Plate Making and Related Services",,"Yozish, plastinka qilish va tegishli xizmatlarni o'rnatish","Наборы, создание тарелок и связанные с ним услуги"
2842,"Specialty Cleaning, Polishing and Sanitation Preparations",,"Mutaxassisligi, tozalash va sanitariya pekalashi","Специальная уборка, полировка и санитария"
3000,UNITED AIRLINES,UNITED AIR,Yagona Airlines,United Airlines
3001,AMERICAN AIRLINES,AMERICAN AIR,American Airlines,American Airlines
3002,PAN AMERICAN,PAN AM AIR,PAN amerikalik,Pan American
3003,EUROFLY AIRLINES,EUROFLY AIR,Evroli aviakompaniyalar,Eurofly Airlines
3004,DRAGON AIRLINES,DRAGONAIR,Dragon aviakompaniyasi,Dragon Airlines
3005,BRITISH AIRWAYS,BRITISH AWYS,Britaniya aviakompaniyasi,British Airways
3006,JAPAN AIRLINES,JAL AIRLINE,Yaponiya aviakompaniyasi,Японские авиакомпании
3007,AIR FRANCE,AIR FRANCE,Havo France,Air France
3008,LUFTHANSA,LUFTHANSA,Lufthansa,Lufthansa
3009,AIR CANADA,AIR CANADA,Havo Kanada,Air Canada
