"Sample_id"	"Batch"	"CF_State"	"Treatment"	"Simple_id"
"1"	"GSM5356205"	"1"	"non-CF"	"control"	"control 1"
"2"	"GSM5356206"	"1"	"non-CF"	"control"	"control 2"
"3"	"GSM5356207"	"1"	"non-CF"	"control"	"control 3"
"4"	"GSM5356208"	"2"	"non-CF"	"control"	"control 4"
"5"	"GSM5356209"	"2"	"non-CF"	"control"	"control 5"
"6"	"GSM5356210"	"2"	"non-CF"	"control"	"control 6"
"7"	"GSM5356211"	"1"	"non-CF"	"IL-17+TNFa"	"IL-17+TNFa 1"
"8"	"GSM5356212"	"1"	"non-CF"	"IL-17+TNFa"	"IL-17+TNFa 2"
"9"	"GSM5356213"	"1"	"non-CF"	"IL-17+TNFa"	"IL-17+TNFa 3"
"10"	"GSM5356214"	"2"	"non-CF"	"IL-17+TNFa"	"IL-17+TNFa 4"
"11"	"GSM5356215"	"2"	"non-CF"	"IL-17+TNFa"	"IL-17+TNFa 5"
"12"	"GSM5356216"	"2"	"non-CF"	"IL-17+TNFa"	"IL-17+TNFa 6"
