MCC,DESCRIPTION,STRIPE CODE,DESCRIPTION_UZ,DESCRIPTION_RU
742,Veterinary Services,veterinary_services,Veterinariya xizmatlari,Ветеринарные услуги
763,Agricultural Cooperative,agricultural_cooperative,Qishloq xo'jaligi kooperativi,Сельскохозяйственный кооператив
780,Landscaping Services,landscaping_services,Aarding xizmatlari,Ландшафтные услуги
1520,General Services,general_services,Umumiy xizmatlar,Общие службы
1711,"Heating, Plumbing, A/C",heating_plumbing_a_c,"Isitish, sanitariya, A / c","Нагрев, сантехника, кондиционер"
1731,Electrical Services,electrical_services,Elektr xizmatlari,Электрические услуги
1740,"Masonry, Stonework, and Plaster",masonry_stonework_and_plaster,"Mayonry, toshma va gips","Каменная кладка, каменная кладка и штукатурка"
1750,Carpentry Services,carpentry_services,Duradgorlik xizmatlari,Службы плотницки
1761,"Roofing/Siding, Sheet Metal",roofing_siding_sheet_metal,"Tom yopish / siding, metall","Кровя/сайдинг, листовой металл"
1771,Concrete Work Services,concrete_work_services,Beton ish xizmatlari,Бетонные рабочие услуги
1799,Special Trade Services,special_trade_services,Maxsus savdo xizmatlari,Специальные торговые услуги
2741,Miscellaneous Publishing and Printing,miscellaneous_publishing_and_printing,Turli nashriyot va matbaa,Разное публикация и печать
2791,"Typesetting, Plate Making, and Related Services",typesetting_plate_making_and_related_services,"Yozish, plastinka qilish va tegishli xizmatlarni o'rnatish","Наборы, создание тарелок и связанные с ним услуги"
2842,Specialty Cleaning,specialty_cleaning,Mutaxassisligi,Специальная уборка
4011,Railroads,railroads,Temir yo'l,Железные дороги
4111,"Commuter Transport, Ferries",commuter_transport_and_ferries,"Mahkum transport, temirchilar","Пригородный транспорт, паромы"
4112,Passenger Railways,passenger_railways,Yo'lovchi temir yo'llari,Пассажирские железные дороги
4119,Ambulance Services,ambulance_services,Tez yordam xizmati,Службы скорой помощи
4121,Taxicabs/Limousines,taxicabs_limousines,Soliqqa tortish / limuzinlar,Такси/лимузины
4131,Bus Lines,bus_lines,Avtobus chiziqlari,Автобусные линии
4214,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services",motor_freight_carriers_and_trucking,"Avtotransport yuk tashuvchilar va yuk mashinasi - mahalliy va shaharlar, harakatlanuvchi va saqlash korxonalari va mahalliy etkazib berish xizmatlari","Автомобильные перевозчики и грузоперевозки - местные и большие расстояния, транспортные и хранения, а также местные услуги доставки"
4215,Courier Services,courier_services,Kurerlik xizmatlari,Курьерские услуги
4225,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage",public_warehousing_and_storage,"Ommaviy omborxonalar va saqlash - ferma mahsulotlari, muzlatgichli tovarlar, uy-ro'zg'or buyumlari va saqlash","Общественные склады и хранение - сельскохозяйственные товары, охлажденные товары, товары для дома и хранение"
4411,Cruise Lines,cruise_lines,Kruiz liniyalari,Круизные линии
4457,Boat Rentals and Leases,boat_rentals_and_leases,Qayiqni ijaraga berish va ijaraga berish,Аренда лодок и аренда
4468,"Marinas, Service and Supplies",marinas_service_and_supplies,"Marinalar, xizmat va materiallar","Марины, обслуживание и расходные материалы"
4511,"Airlines, Air Carriers",airlines_air_carriers,"Aviakompaniyalar, aviakompaniya tashuvchilar","Авиакомпании, авианосцы"
4582,"Airports, Flying Fields",airports_flying_fields,"Aeroportlar, uchadigan maydonlar","Аэропорты, летающие поля"
4722,"Travel Agencies, Tour Operators",travel_agencies_tour_operators,"Sayyohlik agentliklari, turoperatorlar","Туристические агентства, туроператоры"
4723,TUI Travel - Germany,t_ui_travel_germany,Tui sayohat - Germaniya,Tui Travel - Германия
4784,Tolls/Bridge Fees,tolls_bridge_fees,Tolls / Bridge to'lovlari,Плата/плата за мост
4789,Transportation Services (Not Elsewhere Classified),transportation_services,Transport xizmatlari (boshqa joyda tasniflangan),Транспортные услуги (не в других местах классифицируются)
4812,Telecommunication Equipment and Telephone Sales,telecommunication_equipment_and_telephone_sales,Telekommunikatsiya uskunalari va telefon sotish,Телекоммуникационное оборудование и продажи по телефону
4814,Telecommunication Services,telecommunication_services,Telekommunikatsiya xizmatlari,Телекоммуникационные услуги
4816,Computer Network Services,computer_network_services,Kompyuter tarmoqlari xizmatlari,Услуги компьютерных сети
4821,Telegraph Services,telegraph_services,Telegraf xizmatlari,Телеграфские услуги
4829,"Wires, Money Orders",wires_money_orders,"Simlar, pul buyurtmalari","Провода, денежные переводы"
4899,"Cable, Satellite, and Other Pay Television and Radio",cable_satellite_and_other_pay_television_and_radio,"Kabel, yo'ldosh va boshqa to'lovlar televideniesi va radiosi","Кабельный, спутник и другие платные телевидения и радио"
4900,Utilities,utilities,Kommunal xizmatlar,Коммунальные услуги
5013,Motor Vehicle Supplies and New Parts,motor_vehicle_supplies_and_new_parts,Avtotransport vositalari va yangi qismlar,Поставки автомобилей и новые детали
5021,Office and Commercial Furniture,office_and_commercial_furniture,Ofis va tijorat mebellari,Офисная и коммерческая мебель
5039,Construction Materials (Not Elsewhere Classified),construction_materials,Qurilish materiallari (boshqa joyda tasniflangan),Строительные материалы (не классифицируются в другом месте)
5044,"Photographic, Photocopy, Microfilm Equipment, and Supplies",photographic_photocopy_microfilm_equipment_and_supplies,"Fotografik, fotokopiya, mikrofilm uskunalari va materiallar","Фотографический, фотокопия, микрофильмное оборудование и расходные материалы"
5045,"Computers, Peripherals, and Software",computers_peripherals_and_software,"Kompyuterlar, periferiya va dasturiy ta'minot","Компьютеры, периферийные устройства и программное обеспечение"
5046,Commercial Equipment (Not Elsewhere Classified),commercial_equipment,Tijorat uskunalari (boshqa joyda tasniflangan),Коммерческое оборудование (не классифицировано в других местах)
5047,"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies",medical_dental_ophthalmic_and_hospital_equipment_and_supplies,"Tibbiy, stomatologiya, oftalmika va kasalxona jihozlari va materiallari","Медицинское, стоматологическое, офтальмологическое и больничное оборудование и расходные материалы"
5051,Metal Service Centers,metal_service_centers,Metallga xizmat ko'rsatish markazlari,Металлические сервисные центры
5065,Electrical Parts and Equipment,electrical_parts_and_equipment,Elektr qismlari va uskunalari,Электрические детали и оборудование
5072,"Hardware, Equipment, and Supplies",hardware_equipment_and_supplies,"Uskunalar, uskunalar va materiallar","Оборудование, оборудование и расходные материалы"
5074,"Plumbing, Heating Equipment, and Supplies",plumbing_heating_equipment_and_supplies,"Santexnika, isitish uskunalari va materiallar","Сантехника, оборудование для отопления и расходные материалы"
5085,Industrial Supplies (Not Elsewhere Classified),industrial_supplies,Sanoat ta'minoti (boshqa joyda tasniflangan emas),Промышленные принадлежности (не классифицируются в других местах)
5094,"Precious Stones and Metals, Watches and Jewelry",precious_stones_and_metals_watches_and_jewelry,"Qimmatbaho toshlar va metallar, soatlar va zargarlik buyumlari","Драгоценные камни и металлы, часы и украшения"
5099,Durable Goods (Not Elsewhere Classified),durable_goods,Bardoshli mahsulotlar (boshqa joyda tasniflangan emas),Проверенные товары (не классифицируются в другом месте)
5111,"Stationary, Office Supplies, Printing and Writing Paper",stationary_office_supplies_printing_and_writing_paper,"Statsionar, ofis materiallari, bosib chiqarish va yozma qog'oz","Стационарные, офисные принадлежности, печать и писательская бумага"
5122,"Drugs, Drug Proprietaries, and Druggist Sundries",drugs_drug_proprietaries_and_druggist_sundries,"Giyohvand moddalar, giyohvandlik vositalari va dorixonalar sunmistikasi","Лекарства, владения лекарствами и аптекание солнат"
5131,"Piece Goods, Notions, and Other Dry Goods",piece_goods_notions_and_other_dry_goods,"Buyumlar, tushunchalar va boshqa quruq mahsulotlar","Товары, представления и другие сухие товары"
5137,"Uniforms, Commercial Clothing",uniforms_commercial_clothing,"Formalar, tijorat kiyimlari","Униформа, коммерческая одежда"
5139,Commercial Footwear,commercial_footwear,Tijorat poyafzallari,Коммерческая обувь
5169,Chemicals and Allied Products (Not Elsewhere Classified),chemicals_and_allied_products,Kimyoviy va ittifoq mahsulotlari (boshqa joyda tasniflangan),Химикаты и союзные продукты (не классифицируются в других местах)
5172,Petroleum and Petroleum Products,petroleum_and_petroleum_products,Neft va neft mahsulotlari,Нефтяная и нефтяная продукция
5192,"Books, Periodicals, and Newspapers",books_periodicals_and_newspapers,"Kitoblar, davriy nashrlar va gazetalar","Книги, периодические издания и газеты"
5193,"Florists Supplies, Nursery Stock, and Flowers",florists_supplies_nursery_stock_and_flowers,"Floristlar materiallari, bolalar bog'chasi va gullar","Флористы поставки, питомник и цветы"
