level,animal,dragon,elemental,fury,giant,spirit,superstition/vs=others,superstition/vs=spellcasters,bloodrager_weapon,bloodrager_bleed,bloodrager_spells/drained=0,bloodrager_spells/drained=1,bloodrager_spells/drained=2
1,2,4,4,3,6,3,3,4,2,1,,,
2,,,,,,,,,,,2,2,2
3,,,,,,,,,,,,,
4,,,,,,,,,,,,3,3
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,5,8,6,7,10,7,7,8,4,2,4,5,5
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,7
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,12,16,12,13,18,13,13,16,8,4,8,9,11
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,22
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
