MCC,DESCRIPTION,MASTERCARD_ABBREVIATED_AIRLINE_NAME,DESCRIPTION_UZ,DESCRIPTION_RU
742,Veterinary Services,,Veterinariya xizmatlari,Ветеринарные услуги
763,Agricultural Cooperatives,,Qishloq xo'jaligi kooperativlari,Сельскохозяйственные кооперативы
780,Horticultural and Landscaping Services,,Bog'dorchilik va obodonlashtirish xizmatlari,Садоводные и ландшафтные услуги
1520,"General Contractors, residential and commercial",,"Umumiy pudratchilar, turar-joy va tijorat","Генеральные подрядчики, жилые и коммерческие"
1711,"Air Conditioning, Heating, and Plumbing Contractors",,"Konditsionerlik, isitish va sanitariya pudratchilar","Подрядчики кондиционирования воздуха, отопление и сантехника"
1731,Electrical Contractors,,Elektr pudratchilari,Электрические подрядчики
1740,"Insulation, Masonry, Plastering, Stonework, and Tile Setting Contractors",,"Insonulyatsiya, masonlar, gipasteriya, tosh ishlari va pudratchilarni o'rnatish","Подрядчики с изоляцией, кладкой, штукатуркой, каменной кладкой и плиткой"
1750,Carpentry Contractors,,Duradgorlik pudratchilari,Плотницы подрядчики
1761,"Roofing and Siding, Sheet Metal Work Contractors",,"Tom yopish va siding, metall buyumlar pudratchilar","Кровя и сайдинг, подрядчики из листового металла"
1771,Concrete Work Contractors,,Beton ish joylari pudratchilari,Конкретные рабочие подрядчики
1799,"Contractors, Special Trade; not elsewhere classified",,"Pudratchilar, maxsus savdo; boshqa joyda tasniflangan","Подрядчики, специальная торговля; ни в другом месте классифицировано"
2741,Miscellaneous Publishing and Printing,,Turli nashriyot va matbaa,Разное публикация и печать
2791,"Typesetting, Plate Making, and Related Services",,"Yozish, plastinka qilish va tegishli xizmatlarni o'rnatish","Наборы, создание тарелок и связанные с ним услуги"
2842,"Sanitation, Polishing, and Specialty Cleaning Preparations",,"Sanitariya, sayqallash va ixtisoslashtirish preparatlari","Санитария, полировка и специальная очистка"
3000,United Airlines,UNITED,Yagona Airlines,United Airlines
3001,American Airlines,AMERICAN,American Airlines,American Airlines
3002,Pan American,PAN AM,PAN amerikalik,Pan American
3003,Eurofly,EUROFLY,Evroli,Еврофли
3004,Dragonair,DRAGONAIR,Ajdaho,Драконар
3005,British Airways,BRITISH A,Britaniya aviakompaniyasi,British Airways
3006,Japan Air Lines,JAL,Yaponiya aviatashi liniyalari,Японские воздушные линии
3007,Air France,AIR FRAN,Havo France,Air France
3008,Lufthansa,LUFTHAN,Lufthansa,Lufthansa
3009,Air Canada,AIR CAN,Havo Kanada,Air Canada
3010,Royal Dutch Airlines (KLM),KLM,Qirollik gollandiyalik aviakompaniyalari (KLM),Royal Dutch Airlines (KLM)
3011,Aeroflot,AEROFLOT,Aeroflot,Аэрофлот
3012,Qantas,QANTAS,Qantas,Qantas
