Word,EV
outraged,0.2
brutality,0
hatred,0.125
hateful,0.15
terrorize,0.125
violently,0.125
infuriated,0.2
furious,0.35
furiously,0.2
enraged,0.2
screwyou,0.2
murderer,0.1
fury,0.15
execution,0.575
angered,0.2
savagery,0
slaughtering,0.55
veryangry,0.2
assassinate,0
annihilation,0.125
fuckoff,0.2
rage,0.2
loathe,0.35
fucktard,0.2
roadrage,0.2
damnation,0.125
homicidal,0
furor,0.2
hostile,0.025
annihilate,0
murder,0.55
raging,0.025
sopissed,0.2
infuriates,0.2
pissed,0.2
rape,0.1
ferocious,0.025
vengeful,0.05
obliterated,0.025
explosive,0.6
killing,0.125
combative,0.05
vengeance,0.025
gofuckyourself,0.2
torment,0.125
wrath,0.05
vicious,0.325
massacre,0.1
threatening,0
abhorrent,0.025
bloodthirsty,0
pissoff,0.2
fighting,0.225
attacking,0.575
annihilated,0.125
angriest,0.225
bloodshed,0.575
smite,0.15
brawl,0.025
malicious,0.125
assassination,0.125
strangle,0.55
hostility,0.35
assault,0
explode,0.6
tirade,0.35
loathsome,0.325
hell,0.125
murderous,0.55
attack,0.025
malice,0.05
terrorism,0.125
beating,0.125
outrage,0.35
desecration,0.125
pissingmeoff,0.225
destroying,0.125
slaughter,0.575
irate,0.225
violent,0.575
stab,0.575
abomination,0.025
tumultuous,0.05
infuriate,0.225
obliterate,0.15
belligerent,0.05
dumbbitch,0.225
detest,0.325
hostilities,0.05
prick,0.55
rampage,0.025
horrid,0.125
cruelty,0.125
torture,0.125
rabid,0.15
despicable,0.325
tyrannical,0.025
demonic,0.125
satanic,0.225
hate,0.125
ragemode,0.225
hating,0.225
ruinous,0.125
condemn,0.225
riots,0.225
demolish,0.125
angry,0.35
extermination,0.025
dickhead,0.225
livid,0.35
madman,0.05
vindictive,0.325
terrorist,0.575
threaten,0.025
venomous,0.025
hateyou,0.225
ferocity,0.225
effyou,0.225
abhor,0.05
carnage,0.575
savage,0.025
atrocity,0.125
fucksake,0.225
abuse,0.15
fierce,0.05
destroyer,0.025
angrytweet,0.225
barbaric,0.025
vendetta,0.15
pissesmeoff,0.225
pissedoff,0.225
tyrant,0.15
berserk,0.225
fuming,0.225
anger,0.225
pieceofshit,0.225
punched,0.225
punching,0.225
slam,0.575
homicide,0.125
bitch,0.15
fights,0.225
ruthless,0.025
villainous,0.05
destructive,0.025
slap,0.575
riot,0.025
growthefuckup,0.225
punishing,0.125
slaughterhouse,0.125
yelling,0.225
diabolical,0.025
destroyed,0.125
ragetweet,0.225
retaliatory,0.225
manslaughter,0.575
clash,0.225
quarrel,0.225
bloody,0.125
hellish,0.125
sinister,0.025
loath,0.225
detonation,0.225
accusing,0.05
fumin,0.225
hateeee,0.225
treacherous,0.025
madder,0.225
horrific,0.125
revulsion,0.05
retaliate,0.225
scorn,0.225
bomb,0.575
deplorable,0.125
devastation,0.575
anarchist,0.025
firestorm,0.225
resent,0.225
contemptible,0.35
shittest,0.225
rant,0.225
cruel,0.15
deadly,0.1
smash,0.025
soangry,0.225
outburst,0.575
snarl,0.35
profane,0.225
revolting,0.05
aggravating,0.15
horror,0.575
despise,0.35
offend,0.35
stfu,0.225
vulgarity,0.15
crazed,0.025
douchebags,0.225
growling,0.05
dontmesswithme,0.225
screaming,0.025
threat,0.05
erupt,0.575
horrible,0.025
molestation,0.125
fuckedoff,0.225
violence,0.125
bastards,0.225
revenge,0.55
menacing,0.025
crushing,0.15
damn,0.375
catastrophe,0.575
demon,0.15
argue,0.225
persecute,0.025
deplore,0.15
flog,0.15
fedup,0.225
riotous,0.575
vehement,0.025
revolt,0.575
warfare,0.125
thrash,0.175
altercation,0.225
warlike,0.025
shitday,0.225
mutiny,0.575
castrate,0.225
sabotage,0.575
malevolent,0.125
strike,0.575
disaster,0.575
disastrous,0.125
