MCC,DESCRIPTION,DESCRIPTION_UZ,DESCRIPTION_RU
742,Veterinary services,Veterinariya xizmatlari,Ветеринарные услуги
743,Wine producers,Sharob ishlab chiqaruvchilar,Производители вина
744,Champagne producers,Shampan ishlab chiqaruvchilari,Производители шампанского
780,Landscaping and horticultural services,Aralash va bog'dorchilik xizmatlari,Ландшафтные и садоводческие услуги
1711,"Heating, plumbing and air-conditioning contractors","Isitish, sanitariya va konditsioner pudratchilar","Подрядчики по отоплению, сантехнике и кондиционеру воздуха"
1731,Electrical contractors,Elektr pudratchilari,Электрические подрядчики
1740,"Masonry, stonework, tile setting, plastering and insulation contractors","Mayonry, toshtash, plitkalar, gipastslash va izolyatsiya pudratchilari","Подрядчики с каменной кладкой, настройкой плитки, штукатуркой и изоляцией"
1750,Carpentry contractors,Duradgorlik pudratchilari,Плотницы подрядчики
1761,"Roofing, siding and sheet metal work contractors","Tom yopish, siding va metall ishchilar pudratchilari","Кровяные, сайдинги и листовые рабочие подрядчики"
1771,Concrete work contractors,Beton ish joylari pudratchilari,Конкретные рабочие подрядчики
1799,Special trade contractors - not elsewhere classified,Maxsus savdo pudratchilari - boshqa joyda tasniflangan emas,Специальные торговые подрядчики - не в других местах классифицируются
2741,Miscellaneous publishing and printing services,Turli nashriyot va matbaa xizmatlari,Разные услуги публикации и печати
2791,"Typesetting, platemaking and related services","Yozish, platomnik va tegishli xizmatlar","Наборы, создание пластин и связанные с ними услуги"
2842,"Speciality cleaning, polishing and sanitation preparations","Mutaxassisligi, tozalash va sanitariya pekalashi","Специальная уборка, полировка и санитария"
4011,Railroads,Temir yo'l,Железные дороги
4111,"Local and suburban commuter passenger transportation, including ferries","Mahalliy va shahar atrofi savdosi yo'lovchi tashish, shu jumladan parserlar","Местные и пригородные пассажирские пассажирские перевозки, включая паромы"
4112,Passenger railways,Yo'lovchi temir yo'llari,Пассажирские железные дороги
4119,Ambulance services,Tez yordam xizmati,Службы скорой помощи
4121,Taxi-cabs and limousines,Taksi-taks va limuzinlar,Такси и лимузины
4131,Bus lines,Avtobus chiziqlari,Автобусные линии
4214,"Motor freight carriers and trucking - local and long distance, moving and storage companies and local delivery","Avtotransport yuk tashuvchilar va yuk mashinalari - mahalliy va shaharlararo, harakatlanuvchi va saqlash kompaniyalari va mahalliy etkazib berish","Автомобильные перевозчики и грузоперевозки - местные и большие расстояния, компании по переезду и хранению и местные доставки"
4215,Courier services - air and ground and freight forwarders,Kuryer xizmatlari - Havo va zamin va ekspeditorlar,Курьерские услуги - воздушные и грузовые и грузовые перевозчики
4225,"Public warehousing and storage - farm products, refrigerated goods and household goods","Ommaviy omborxonalar va saqlash - fermer xo'jalik mahsulotlari, sovutilmagan tovarlar va maishiy mahsulotlar","Общественные склады и хранение - сельскохозяйственные товары, охлажденные товары и товары для дома."
4411,Steamships and cruise lines,Bug 'kemalari va kruiz liniyalari,Пароходы и круизные линии
4457,Boat rentals and leasing,Qayiqni ijarasi va lizing,Прокат лодок и лизинг
4468,"Marinas, marine service and supplies","Marinalar, dengiz xizmati va materiallar","Маринас, Морская служба и расходные материалы"
4511,Airlines and air carriers,Aviakompaniyalar va aviatashuvchilar,Авиакомпании и авиаперевозчики
4582,"Airports, flying fields and airport terminals","Aeroportlar, uchadigan maydonlar va aeroport terminallari","Аэропорты, летающие поля и терминалы аэропортов"
4722,Travel agencies and tour operators,Sayyohlik agentliklari va turoperatorlari,Туристические агентства и туроператоры
4784,Tolls and bridge fees,Tolls va ko'prix to'lovlari,Проезд и плата за мост
4789,Transportation services - not elsewhere classified,Transport xizmatlari - boshqa joyda tasniflangan,Транспортные услуги - не в других местах классифицируются
4812,Telecommunication equipment and telephone sales,Telekommunikatsiya uskunalari va telefon sotish,Телекоммуникационное оборудование и продажи по телефону
4814,Telecommunication services,Telekommunikatsiya xizmatlari,Телекоммуникационные услуги
4815,Monthly summary telephone charges,Oylik qisqacha telefonda to'lovlar,Ежемесячная сводная телефонная плата
4816,Computer network information services,Kompyuter tarmog'i haqida ma'lumot xizmatlari,Информационные услуги компьютерной сети
4821,Telegraph services,Telegraf xizmatlari,Телеграфские услуги
4899,Cable and other pay television services,Kabel va boshqa to'lovlar televizion xizmatlari,Кабельные и другие платные телевизионные услуги
4900,"Utilities - electric, gas, water and sanitary","Kommunal xizmatlar - elektr, gaz, suv va sanitariya","Коммунальные услуги - электрический, газ, вода и санитария"
5013,Motor vehicle supplies and new parts,Avtotransport vositalari va yangi qismlar,Поставки автомобилей и новые детали
5021,Office and commercial furniture,Ofis va tijorat mebellari,Офисная и коммерческая мебель
5039,Construction materials - not elsewhere classified,Qurilish materiallari - boshqa joyda tasniflangan,Строительные материалы - не в других местах классифицируются
5044,"Office, photographic, photocopy and microfilm equipment","Ofis, fotosurat, fotokopiya va mikrofilm uskunalari","Офис, фотографическая, фотокопия и микрофильмное оборудование"
5045,"Computers, computer peripheral equipment - not elsewhere classified","Kompyuterlar, kompyuter periferik uskunalari - boshqa joyda tasniflangan","Компьютеры, компьютерное периферийное оборудование - не в других местах классифицировано"
5046,Commercial equipment - not elsewhere classified,Tijorat uskunalari - boshqa joyda tasniflangan,Коммерческое оборудование - не в других местах классифицировано
5047,Dental laboratory medical ophthalmic hospital equipment and supplies,Tish laboratoriyasi tibbiy oftalmoyaning uskunalari va materiallari,Стоматологическая лабораторная медицинское оборудование офтальмологического больницы и расходные материалы
