STATE,RESIDENTIAL,GENDER,AGE,WEIGHT (kg),HEIGHT (cm),BMI (kg/m2),CLASS (BMI),POWER (cm),SPEED (sec),FLEXIBILITY (cm),COORDINATION (no.)
JOHOR,RURAL,F,7.1,18.5,111.2,15,NORMAL,111,4.5,35,8
JOHOR,URBAN,F,7,18,116,13.4,NORMAL,110,4.79,38,7
JOHOR,RURAL,F,7,18,116,13.4,NORMAL,128,4.9,30,8
JOHOR,RURAL,F,7.1,21,119,14.8,NORMAL,123,4.9,29,9
JOHOR,URBAN,F,7.1,19.5,117.5,14.1,NORMAL,109,4.9,28,7
JOHOR,RURAL,F,7.1,20.15,117.1,14.7,NORMAL,104,4.67,31,4
JOHOR,RURAL,F,7.1,18.2,113.5,14.1,NORMAL,112,5.4,29.5,10
JOHOR,URBAN,F,7,37.6,126,23.7,OBESITY,101,4.98,34,4
JOHOR,RURAL,F,7,19,116,14.1,NORMAL,97,3.98,32,3
JOHOR,URBAN,F,7.1,25,126,15.7,NORMAL,102,5,28,8
JOHOR,URBAN,F,7.1,29,131,16.9,NORMAL,112,5.17,29,6
JOHOR,URBAN,F,7.1,24,121,16.4,NORMAL,109,4.23,22,7
JOHOR,URBAN,F,7.1,21,119,14.8,NORMAL,102,5.06,26,10
JOHOR,URBAN,F,7.1,22,119,15.5,NORMAL,114,4.13,26,3
JOHOR,RURAL,F,7,20.5,108,17.6,OVERWEIGHT,98,5.04,30,5
JOHOR,RURAL,F,7.1,21,116,15.6,NORMAL,100,5.04,26.5,8
JOHOR,RURAL,F,7,21.5,118.5,15.3,NORMAL,86,4.73,29.5,7
JOHOR,RURAL,F,7,32,123,21.2,OBESITY,100,4.81,31.5,2
JOHOR,RURAL,F,7.1,26,119,18.4,OVERWEIGHT,97,5.34,32,6
JOHOR,URBAN,F,7.1,21,108,18,OVERWEIGHT,91,4.29,29,4
JOHOR,RURAL,F,7,17,110,14,NORMAL,98,5.32,29.5,7
JOHOR,RURAL,F,7.1,25.1,126,15.8,NORMAL,83,4.87,34,5
JOHOR,URBAN,F,7.1,21.2,126,13.4,NORMAL,107,5.29,32,3
JOHOR,URBAN,F,7,22,119,15.5,NORMAL,86,4.98,30.5,6
JOHOR,URBAN,F,7.1,23,123,15.2,NORMAL,110,5.04,29,2
JOHOR,URBAN,F,7,21,122,14.1,NORMAL,102,4.98,27,4
JOHOR,RURAL,F,7,20.5,118,14.7,NORMAL,85,4.92,27,9
JOHOR,URBAN,F,7,28.9,128,17.6,OVERWEIGHT,93,4.48,30,1
JOHOR,URBAN,F,7.1,17.5,118,12.6,THINNESS,104,5.1,27.5,3
JOHOR,URBAN,F,7,21,117,15.3,NORMAL,122,4.48,13,4
JOHOR,URBAN,F,7.1,21,116,15.6,NORMAL,77,4.67,29.5,5
JOHOR,URBAN,F,7.1,23,124,15,NORMAL,101,4.73,30,1
JOHOR,URBAN,F,7.1,21,128,12.8,NORMAL,96,5.23,29,4
JOHOR,URBAN,F,7.1,25.9,125,16.6,NORMAL,92,4.93,27,4
JOHOR,URBAN,F,7,17,119.5,11.9,THINNESS,89,4.72,31,1
JOHOR,URBAN,F,7.1,17.9,122,12,THINNESS,96,5.73,28.5,7
JOHOR,RURAL,F,7,21,120,14.6,NORMAL,102,4,25,1
JOHOR,URBAN,F,7,24,120,16.7,NORMAL,79,4.87,25.5,9
JOHOR,RURAL,F,7,21.6,119.5,15.1,NORMAL,97,4.87,22.5,5
JOHOR,URBAN,F,7,25,127,15.5,NORMAL,95,4.85,31,1
JOHOR,URBAN,F,7,19.2,112.5,15.2,NORMAL,86,5.56,29,9
JOHOR,URBAN,F,7,20.8,126,13.1,NORMAL,105,4.98,28.5,1
JOHOR,URBAN,F,7.1,22,121,15,NORMAL,95,5.4,30,3
JOHOR,RURAL,F,7.1,26,120,18.1,OVERWEIGHT,81,4.79,31,2
JOHOR,URBAN,F,7,19,116,14.1,NORMAL,93,5.63,31.5,4
JOHOR,RURAL,F,7.1,43,124,28,OBESITY,99,6.68,34,4
JOHOR,RURAL,F,7,19.15,105.8,17.1,NORMAL,83,4.54,34.5,1
JOHOR,URBAN,F,7,22,119,15.5,NORMAL,82,5.04,26,6
JOHOR,URBAN,F,7.1,18.5,118,13.3,NORMAL,102,5.03,26,1
